Lap,Tyre,Driver
2021-01-11 00:00:01,MEDIUM,HAM
2021-01-11 00:00:02,MEDIUM,HAM
2021-01-11 00:00:03,MEDIUM,HAM
2021-01-11 00:00:04,MEDIUM,HAM
2021-01-11 00:00:05,MEDIUM,HAM
2021-01-11 00:00:06,MEDIUM,HAM
2021-01-11 00:00:07,MEDIUM,HAM
2021-01-11 00:00:08,MEDIUM,HAM
2021-01-11 00:00:09,MEDIUM,HAM
2021-01-11 00:00:10,MEDIUM,HAM
2021-01-11 00:00:11,MEDIUM,HAM
2021-01-11 00:00:12,MEDIUM,HAM
2021-01-11 00:00:13,MEDIUM,HAM
2021-01-11 00:00:14,MEDIUM,HAM
2021-01-11 00:00:15,HARD,HAM
2021-01-11 00:00:16,HARD,HAM
2021-01-11 00:00:17,HARD,HAM
2021-01-11 00:00:18,HARD,HAM
2021-01-11 00:00:19,HARD,HAM
2021-01-11 00:00:20,HARD,HAM
2021-01-11 00:00:21,HARD,HAM
2021-01-11 00:00:22,HARD,HAM
2021-01-11 00:00:23,HARD,HAM
2021-01-11 00:00:24,HARD,HAM
2021-01-11 00:00:25,HARD,HAM
2021-01-11 00:00:26,HARD,HAM
2021-01-11 00:00:27,HARD,HAM
2021-01-11 00:00:28,HARD,HAM
2021-01-11 00:00:29,HARD,HAM
2021-01-11 00:00:30,HARD,HAM
2021-01-11 00:00:31,HARD,HAM
2021-01-11 00:00:32,HARD,HAM
2021-01-11 00:00:33,HARD,HAM
2021-01-11 00:00:34,HARD,HAM
2021-01-11 00:00:35,HARD,HAM
2021-01-11 00:00:36,HARD,HAM
2021-01-11 00:00:37,HARD,HAM
2021-01-11 00:00:38,HARD,HAM
2021-01-11 00:00:39,HARD,HAM
2021-01-11 00:00:40,HARD,HAM
2021-01-11 00:00:41,HARD,HAM
2021-01-11 00:00:42,HARD,HAM
2021-01-11 00:00:43,HARD,HAM
2021-01-11 00:00:44,HARD,HAM
2021-01-11 00:00:45,HARD,HAM
2021-01-11 00:00:46,HARD,HAM
2021-01-11 00:00:47,HARD,HAM
2021-01-11 00:00:48,HARD,HAM
2021-01-11 00:00:49,HARD,HAM
2021-01-11 00:00:50,HARD,HAM
2021-01-11 00:00:51,HARD,HAM
2021-01-11 00:00:52,HARD,HAM
2021-01-11 00:00:53,HARD,HAM
2021-01-11 00:00:54,HARD,HAM
2021-01-11 00:00:55,HARD,HAM
2021-01-11 00:00:56,HARD,HAM
2021-01-11 00:00:57,HARD,HAM
2021-01-11 00:00:58,HARD,HAM
