Driver,Lap,Tyre
VER,1,SOFT
VER,2,SOFT
VER,3,SOFT
VER,4,SOFT
VER,5,SOFT
VER,6,SOFT
VER,7,SOFT
VER,8,SOFT
VER,9,SOFT
VER,10,SOFT
VER,11,SOFT
VER,12,SOFT
VER,13,SOFT
VER,14,HARD
VER,15,HARD
VER,16,HARD
VER,17,HARD
VER,18,HARD
VER,19,HARD
VER,20,HARD
VER,21,HARD
VER,22,HARD
VER,23,HARD
VER,24,HARD
VER,25,HARD
VER,26,HARD
VER,27,HARD
VER,28,HARD
VER,29,HARD
VER,30,HARD
VER,31,HARD
VER,32,HARD
VER,33,HARD
VER,34,HARD
VER,35,HARD
VER,36,HARD
VER,37,HARD
VER,38,HARD
VER,39,HARD
VER,40,HARD
VER,41,HARD
VER,42,HARD
VER,43,HARD
VER,44,HARD
VER,45,HARD
VER,46,HARD
VER,47,HARD
VER,48,HARD
VER,49,HARD
VER,50,HARD
VER,51,HARD
VER,52,HARD
VER,53,HARD
VER,54,SOFT
VER,55,SOFT
VER,56,SOFT
VER,57,SOFT
VER,58,SOFT
HAM,1,MEDIUM
HAM,2,MEDIUM
HAM,3,MEDIUM
HAM,4,MEDIUM
HAM,5,MEDIUM
HAM,6,MEDIUM
HAM,7,MEDIUM
HAM,8,MEDIUM
HAM,9,MEDIUM
HAM,10,MEDIUM
HAM,11,MEDIUM
HAM,12,MEDIUM
HAM,13,MEDIUM
HAM,14,MEDIUM
HAM,15,HARD
HAM,16,HARD
HAM,17,HARD
HAM,18,HARD
HAM,19,HARD
HAM,20,HARD
HAM,21,HARD
HAM,22,HARD
HAM,23,HARD
HAM,24,HARD
HAM,25,HARD
HAM,26,HARD
HAM,27,HARD
HAM,28,HARD
HAM,29,HARD
HAM,30,HARD
HAM,31,HARD
HAM,32,HARD
HAM,33,HARD
HAM,34,HARD
HAM,35,HARD
HAM,36,HARD
HAM,37,HARD
HAM,38,HARD
HAM,39,HARD
HAM,40,HARD
HAM,41,HARD
HAM,42,HARD
HAM,43,HARD
HAM,44,HARD
HAM,45,HARD
HAM,46,HARD
HAM,47,HARD
HAM,48,HARD
HAM,49,HARD
HAM,50,HARD
HAM,51,HARD
HAM,52,HARD
HAM,53,HARD
HAM,54,HARD
HAM,55,HARD
HAM,56,HARD
HAM,57,HARD
HAM,58,HARD
