Lap,Tyre
2021-01-11 00:00:01,SOFT
2021-01-11 00:00:02,SOFT
2021-01-11 00:00:03,SOFT
2021-01-11 00:00:04,SOFT
2021-01-11 00:00:05,SOFT
2021-01-11 00:00:06,SOFT
2021-01-11 00:00:07,SOFT
2021-01-11 00:00:08,SOFT
2021-01-11 00:00:09,SOFT
2021-01-11 00:00:10,SOFT
2021-01-11 00:00:11,SOFT
2021-01-11 00:00:12,SOFT
2021-01-11 00:00:13,SOFT
2021-01-11 00:00:14,HARD
2021-01-11 00:00:15,HARD
2021-01-11 00:00:16,HARD
2021-01-11 00:00:17,HARD
2021-01-11 00:00:18,HARD
2021-01-11 00:00:19,HARD
2021-01-11 00:00:20,HARD
2021-01-11 00:00:21,HARD
2021-01-11 00:00:22,HARD
2021-01-11 00:00:23,HARD
2021-01-11 00:00:24,HARD
2021-01-11 00:00:25,HARD
2021-01-11 00:00:26,HARD
2021-01-11 00:00:27,HARD
2021-01-11 00:00:28,HARD
2021-01-11 00:00:29,HARD
2021-01-11 00:00:30,HARD
2021-01-11 00:00:31,HARD
2021-01-11 00:00:32,HARD
2021-01-11 00:00:33,HARD
2021-01-11 00:00:34,HARD
2021-01-11 00:00:35,HARD
2021-01-11 00:00:36,HARD
2021-01-11 00:00:37,HARD
2021-01-11 00:00:38,HARD
2021-01-11 00:00:39,HARD
2021-01-11 00:00:40,HARD
2021-01-11 00:00:41,HARD
2021-01-11 00:00:42,HARD
2021-01-11 00:00:43,HARD
2021-01-11 00:00:44,HARD
2021-01-11 00:00:45,HARD
2021-01-11 00:00:46,HARD
2021-01-11 00:00:47,HARD
2021-01-11 00:00:48,HARD
2021-01-11 00:00:49,HARD
2021-01-11 00:00:50,HARD
2021-01-11 00:00:51,HARD
2021-01-11 00:00:52,HARD
2021-01-11 00:00:53,HARD
2021-01-11 00:00:54,SOFT
2021-01-11 00:00:55,SOFT
2021-01-11 00:00:56,SOFT
2021-01-11 00:00:57,SOFT
2021-01-11 00:00:58,SOFT
